id,a1_r12,a1_r13,a1_r14,a1_r15,a1_r16
228,76,53,66,68,24
229,18,18,91,24,74
230,35,82,69,2,73
231,22,27,74,80,94
232,25,9,24,48,13
233,45,0,58,54,28
234,38,75,18,68,45
235,78,37,21,92,99
236,77,13,74,24,93
237,41,5,81,35,20
238,91,68,68,70,65
239,89,7,78,68,87
240,79,38,9,85,62
241,48,47,98,6,16
242,93,77,79,32,57
243,31,3,71,37,61
244,19,84,83,98,83
245,24,67,19,71,51
246,8,100,4,51,85
247,68,34,96,97,93
248,40,46,77,15,93
249,26,85,50,20,9
250,88,45,41,95,99
251,58,11,98,75,27
252,37,79,0,21,4
253,65,1,93,15,41
254,23,63,59,94,72
255,91,64,31,95,77
256,100,54,65,24,96
257,59,76,60,92,93
258,34,24,5,24,84
259,45,25,30,22,74
260,55,66,91,5,82
261,29,88,72,38,31
262,15,64,68,32,13
263,46,38,53,31,64
264,60,77,16,91,63
265,21,12,21,31,48
266,10,19,79,80,79
267,27,5,58,41,2
268,95,51,52,78,37
269,69,15,6,30,21
270,50,87,32,10,31
271,86,45,56,6,29
272,9,54,92,66,65
273,47,16,61,50,34
274,94,96,13,12,96
275,93,10,40,48,70
276,4,28,85,11,36
277,63,53,72,99,20
278,10,52,83,3,56
279,51,42,24,86,21
280,17,80,9,47,10
281,69,21,67,13,80
282,71,81,90,80,76
283,48,81,67,76,86
284,73,53,28,31,34
285,73,62,39,44,79
286,93,22,68,81,53
287,87,90,63,61,22
288,33,80,12,48,70
289,21,7,81,97,29
290,34,55,72,66,79
291,84,19,19,17,27
292,51,69,87,94,57
293,16,58,17,29,2
294,77,51,70,32,30
295,9,67,45,46,60
296,21,5,75,86,37
297,76,25,89,79,41
298,67,81,9,84,21
299,81,68,49,57,53
300,100,80,32,62,81
301,89,40,37,87,93
302,90,19,3,75,45
303,28,45,84,47,50
304,77,15,55,44,52
305,44,20,89,47,40
306,99,24,75,80,93
307,70,23,26,48,62
308,84,62,46,57,76
309,23,48,69,69,37
310,70,22,71,28,66
311,89,1,38,41,47
312,36,5,101,1,38
313,89,16,24,45,34
314,17,50,14,33,12
315,2,43,48,85,15
316,12,85,48,28,85
317,31,96,61,76,19
318,25,35,21,49,10
319,63,19,71,49,0
320,89,70,56,101,48
321,5,55,24,27,77
322,33,77,89,24,99
323,47,70,12,69,40
324,91,99,90,8,13
325,97,32,88,19,3
326,43,16,4,10,75
327,54,83,89,17,16
328,17,96,78,6,34
329,80,95,76,34,9
330,86,2,34,83,92
331,57,47,84,4,47
332,85,81,75,74,94
333,29,20,94,56,56
334,1,12,67,71,4
335,79,53,54,79,3
336,44,96,71,26,37
337,62,34,93,62,34
338,74,47,64,9,11
339,6,18,80,88,21
340,85,53,66,4,73
341,10,11,91,94,93
342,24,80,10,25,80
343,96,21,2,32,80
344,15,92,37,16,41
345,3,21,31,23,93
346,91,48,25,22,98
347,4,47,79,46,28
348,71,75,56,74,61
349,73,91,4,99,41
350,78,2,42,94,49
351,34,20,17,40,14
352,101,75,23,95,78
353,21,14,79,60,47
354,58,27,12,1,38
355,97,68,67,15,95
356,54,74,57,88,86
357,75,89,64,34,53
358,85,6,54,98,17
359,54,53,24,32,31
360,37,45,37,19,97
361,34,90,48,30,82
362,55,23,101,63,71
363,54,83,30,2,100
364,4,33,85,1,78
365,79,44,29,68,12
366,24,19,57,3,83
367,90,8,32,50,49
368,23,46,98,77,22
369,101,83,7,98,4
370,33,51,48,55,14
371,17,87,51,26,50
372,88,93,45,33,57
373,55,44,31,88,27
374,41,74,17,21,67
375,88,5,87,25,69
376,82,76,101,74,79
377,40,74,43,24,29
378,43,93,50,44,81
379,78,81,37,3,89
380,93,75,8,21,45
381,72,22,21,94,46
382,75,60,8,81,67
383,6,14,41,47,84
384,20,83,19,63,45
385,89,10,3,55,63
386,89,18,98,30,35
387,36,76,44,6,85
388,25,42,98,97,52
389,84,87,59,31,33
390,49,100,45,31,34
391,6,18,53,54,80
392,2,84,66,18,51
393,21,3,2,53,91
394,8,76,35,7,71
395,30,47,88,17,98
396,53,60,3,39,5
397,97,68,10,16,33
398,91,10,89,94,75
399,96,38,14,67,42
400,59,21,4,98,78
401,51,3,93,53,65
402,44,10,78,54,64
403,93,38,63,85,67
404,90,96,34,3,54
405,51,87,13,7,93
406,46,20,95,86,85
407,83,82,33,83,7
408,20,71,41,46,89
409,26,72,66,92,21
410,59,68,22,82,91
411,15,52,16,54,78
412,16,93,51,56,20
413,60,70,16,23,7
414,78,46,86,42,71
415,8,84,93,86,35
416,29,54,66,50,19
417,59,67,12,56,12
418,54,100,50,35,88
419,60,18,57,92,99
420,37,47,36,91,97
421,55,39,15,2,9
422,100,73,30,26,16
423,68,85,81,18,36
424,31,48,75,3,98
425,26,95,37,86,70
426,97,61,3,4,19
427,73,82,57,101,44
428,25,93,27,36,88
429,59,75,61,89,78
430,24,87,8,66,82
431,78,32,65,47,91
432,73,55,68,89,21
433,13,39,27,17,50
434,94,49,86,87,2
435,50,82,101,41,21
436,96,39,46,10,0
437,58,58,67,27,80
438,16,5,2,75,64
439,79,44,59,23,56
440,13,2,10,49,48
441,60,57,23,81,38
442,93,44,63,36,61
443,73,44,21,94,47
444,97,31,42,70,19
445,95,79,92,20,92
446,22,96,78,76,61
447,76,73,90,49,40
448,96,92,35,60,21
449,64,19,10,62,72
450,69,60,78,32,66
451,22,77,85,22,59
452,1,4,79,32,5
453,87,24,98,93,62
454,91,66,6,61,77
455,39,78,88,20,72
456,48,5,39,101,21
457,53,77,71,94,10
458,5,19,59,51,59
459,97,70,43,65,89
460,11,74,3,20,49
461,54,8,45,17,51
462,71,65,33,96,5
463,54,6,99,99,18
464,72,31,89,28,65
465,60,1,77,44,13
466,100,90,52,41,42
467,40,58,72,39,49
468,56,7,58,44,40
469,66,67,42,79,10
470,58,1,40,28,12
471,67,36,76,14,97
472,45,1,27,47,58
473,8,6,43,80,39
474,75,83,3,80,81
475,23,27,62,99,95
476,85,62,88,58,98
477,23,96,10,75,16
478,0,9,101,66,53
479,9,3,76,77,25
480,66,14,80,30,26
481,52,0,62,55,46
482,86,80,8,50,37
483,34,39,43,29,96
484,25,10,33,60,86
485,58,57,18,59,61
486,7,29,43,35,100
487,38,88,49,10,25
488,25,92,26,40,74
489,80,3,33,12,20
490,86,71,11,20,69
491,61,85,41,52,9
492,2,12,21,26,2
493,81,8,53,19,11
494,30,36,73,52,52
495,79,76,10,32,63
496,30,21,86,3,58
497,73,51,12,24,25
498,91,21,79,97,61
499,61,30,89,97,40
500,11,46,69,5,69
501,22,53,37,22,50
502,90,2,75,28,26
503,45,84,75,29,30
504,66,81,47,33,15
505,83,46,44,28,30
506,92,28,27,72,24
507,97,66,58,6,88
508,66,22,16,88,50
509,35,27,12,1,9
510,58,18,83,24,26
511,55,54,38,9,10
512,6,71,36,35,61
513,20,9,4,3,53
514,85,42,69,23,42
515,74,16,60,93,81
516,6,32,44,92,62
517,93,26,14,11,24
518,43,62,13,95,54
519,88,56,3,23,89
520,8,43,6,34,30
521,31,58,60,94,50
522,97,50,66,53,53
523,15,69,37,96,51
524,95,99,94,30,59
525,6,67,69,64,2
526,81,98,22,11,11
527,64,12,8,74,86
528,53,36,56,41,22
529,0,1,95,101,97
530,42,14,20,71,99
531,50,31,8,15,49
532,40,33,48,59,85
533,80,89,50,27,62
534,19,32,25,18,67
535,13,7,81,64,21
536,17,31,6,89,101
537,17,49,82,18,63
538,25,91,71,57,57
539,24,68,69,40,89
540,94,63,59,80,68
541,45,26,26,85,10
542,12,17,99,83,28
543,60,45,13,57,92
544,19,22,32,69,100
545,85,11,40,34,38
546,100,46,55,97,13
547,54,87,11,96,18
548,82,85,92,94,71
549,31,6,52,69,68
550,34,96,74,32,63
551,65,100,21,54,55
552,38,100,19,41,80
553,75,67,45,26,8
554,25,52,13,33,87
555,94,15,92,50,15
556,83,38,74,49,19
557,55,41,17,86,84
558,3,52,52,100,31
559,90,9,73,56,24
560,95,97,76,36,20
561,99,51,33,83,66
562,30,6,78,25,22
563,63,33,10,41,28
564,80,33,40,34,17
565,70,6,1,38,41
566,32,81,9,12,41
567,15,56,8,97,25
568,88,65,90,33,33
569,26,95,79,97,98
570,21,31,100,85,29
571,22,71,92,53,77
572,89,89,33,28,30
573,59,66,63,94,20
574,27,46,98,84,61
575,82,74,5,68,32
576,25,73,97,79,68
577,81,92,94,19,71
578,101,27,88,75,75
579,13,75,78,57,25
580,25,38,12,90,45
581,49,9,90,70,43
582,82,13,59,64,72
583,62,97,38,19,14
584,11,40,84,24,98
585,66,14,29,24,78
586,53,55,82,21,92
587,97,79,79,19,11
588,28,58,44,63,94
589,30,45,88,63,100
590,91,40,13,56,8
591,23,42,29,72,66
592,17,19,67,97,74
593,76,20,90,76,97
594,73,94,97,48,34
595,96,63,18,87,1
596,36,83,8,60,81
597,41,61,64,79,11
598,48,25,33,6,36
599,7,52,79,96,64
600,9,43,40,28,52
601,27,27,90,46,92
602,49,78,56,25,42
603,54,8,79,62,60
604,68,9,97,37,91
605,44,88,33,53,19
606,88,16,66,4,19
607,15,48,84,41,68
608,67,58,14,98,8
609,35,8,74,65,39
610,98,22,62,18,11
611,64,90,4,1,79
612,37,72,51,38,64
613,83,96,91,16,77
614,4,34,54,18,42
615,76,10,7,1,58
616,9,74,40,54,57
617,32,22,18,8,44
618,16,91,59,35,87
619,7,40,70,90,79
620,31,94,92,81,28
621,94,36,78,73,53
622,27,60,79,14,49
623,13,69,9,3,87
624,95,70,28,27,88
625,26,87,64,28,14
626,8,65,46,9,5
627,24,30,66,57,77
628,15,23,55,85,4
629,41,7,99,52,25
630,75,18,32,57,82
631,38,93,78,80,16
632,96,16,8,55,38
633,36,48,11,82,45
634,65,81,69,88,48
635,80,101,36,90,66
636,6,31,33,14,63
637,1,85,7,65,45
638,63,46,17,96,90
639,78,36,56,36,95
640,12,70,30,67,73
641,48,35,54,55,95
642,41,91,2,27,7
643,51,72,16,10,24
644,79,10,51,55,86
645,24,88,51,76,37
646,90,39,34,84,39
647,94,9,87,75,92
648,65,62,55,96,14
649,57,54,65,87,77
650,61,33,81,22,30
651,97,47,15,49,86
652,76,87,4,97,67
653,68,11,2,62,31
654,66,96,98,83,54
655,61,27,33,33,15
656,73,83,91,67,54
657,40,86,97,53,59
658,0,96,51,24,44
659,21,16,77,91,82
660,96,96,43,94,35
661,68,80,78,87,48
662,13,74,18,61,66
663,18,59,76,68,72
664,37,28,69,100,72
665,30,8,97,86,82
666,69,6,36,36,82
667,13,70,99,23,66
668,75,12,84,26,39
669,96,55,78,97,67
670,30,97,3,61,42
671,43,98,52,72,96
672,24,49,97,39,25
673,56,27,11,60,26
674,32,37,67,17,57
675,5,46,21,56,67
676,29,12,97,73,91
677,11,50,71,65,78
678,26,60,62,34,85
679,96,26,46,54,39
680,27,95,49,95,61
681,36,57,99,77,50
682,100,97,18,60,18
683,97,27,12,78,1
684,7,23,1,57,16
685,99,77,5,15,7
686,90,85,98,8,66
687,95,12,5,66,78
688,98,57,80,54,99
689,8,4,12,11,6
690,71,44,58,64,87
691,59,70,0,40,68
692,94,75,64,44,31
693,16,46,39,43,18
694,44,0,42,95,83
695,48,27,91,97,98
696,56,48,38,78,26
697,28,78,36,8,35
698,77,33,100,19,53
699,63,26,33,43,95
700,2,93,17,9,71
701,56,65,88,19,35
702,87,44,80,19,62
703,67,62,98,32,93
704,80,96,57,47,23
705,40,37,90,78,96
706,75,89,76,40,1
707,86,54,86,81,84
708,57,33,42,32,55
709,17,71,73,37,10
710,47,8,89,82,78
711,50,18,1,79,82
712,62,91,80,101,10
713,91,85,75,40,66
714,68,11,93,64,83
715,83,48,54,70,84
716,96,3,69,83,45
717,9,5,27,1,56
718,72,69,31,77,42
719,12,60,72,43,16
720,79,56,58,88,21
721,31,12,98,21,23
722,72,87,45,43,65
723,19,57,9,83,54
724,78,96,53,65,99
725,6,73,57,4,91
726,9,83,68,65,20
727,39,81,89,24,11
728,83,50,0,90,79
729,73,9,70,41,52
730,93,38,21,12,85
731,2,44,63,49,91
732,75,56,89,14,77
733,96,58,89,37,53
734,74,98,101,56,93
735,48,30,51,59,5
736,98,3,37,55,63
737,66,1,93,2,16
738,46,87,5,89,9
739,69,48,63,21,27
740,85,7,77,83,6
741,46,55,40,101,78
742,93,62,91,32,7
743,14,22,84,51,99
744,32,75,10,17,10
745,26,17,82,77,4
746,9,84,54,14,64
747,51,69,17,95,69
748,22,26,79,70,41
749,0,66,74,36,51
750,14,76,14,88,31
751,51,98,78,6,45
752,86,38,39,8,100
753,0,20,73,45,31
754,16,20,88,47,36
755,42,36,97,30,70
756,19,51,76,15,67
757,21,81,17,49,83
758,25,40,22,63,85
759,57,65,89,65,85
760,10,69,78,42,26
761,86,100,98,90,70
762,57,51,57,42,45
763,72,65,77,51,34
764,76,34,33,88,65
765,99,56,61,20,34
766,12,25,88,3,26
767,34,99,60,41,49
768,96,43,36,67,35
769,64,14,15,93,8
770,70,72,6,32,86
771,52,60,81,7,98
772,6,84,39,29,92
773,17,33,1,60,98
774,11,43,64,37,79
775,58,27,35,70,38
776,72,81,6,13,10
777,65,32,20,82,37
778,53,63,56,43,52
779,32,8,84,63,15
780,32,1,96,55,98
781,59,64,24,77,33
782,54,23,99,97,100
783,33,41,73,64,33
784,39,13,35,8,85
785,80,6,13,97,7
786,32,54,67,11,54
787,43,101,25,45,55
788,100,73,22,8,60
789,84,67,32,96,64
790,89,54,30,100,10
791,24,39,17,13,19
792,7,74,54,74,44
793,5,39,52,97,70
794,45,21,11,20,1
795,18,53,89,36,3
796,75,9,56,70,50
797,100,13,21,86,21
798,71,77,45,42,82
799,8,59,100,17,100
800,94,49,36,68,96
801,33,13,90,84,26
802,48,90,7,94,16
803,37,15,89,7,22
804,45,49,20,30,20
805,48,45,68,79,75
806,16,39,91,65,62
807,8,13,90,97,63
808,30,99,59,2,15
809,89,78,59,48,56
810,21,36,20,72,15
811,21,1,5,80,95
812,63,51,26,69,22
813,5,27,2,57,3
814,66,73,82,43,8
815,4,47,23,45,40
816,70,93,0,58,82
817,36,76,69,21,19
818,74,69,16,56,91
819,89,37,38,52,14
820,43,79,58,29,59
821,39,7,52,98,57
822,63,50,40,78,16
823,49,23,8,27,12
824,94,23,62,20,86
825,4,40,94,96,2
826,41,21,81,89,1
827,62,78,91,85,32
828,37,45,22,47,85
829,1,88,85,48,27
830,66,59,2,79,21
831,18,54,25,6,29
832,20,37,7,101,23
833,44,96,87,76,13
834,68,1,32,97,41
835,93,24,91,14,11
836,98,48,31,25,0
837,40,98,53,8,13
838,62,54,72,18,32
839,94,10,87,91,39
840,85,98,67,18,60
841,40,44,57,51,33
842,100,3,16,31,33
843,70,52,82,96,0
844,73,88,19,33,64
845,69,40,26,61,99
846,96,60,93,11,71
847,33,39,40,99,70
848,41,62,15,96,17
849,29,72,36,59,55
850,15,50,65,81,85
851,70,56,33,14,100
852,36,60,36,79,43
853,92,29,6,23,98
854,96,31,86,34,85
855,82,12,38,47,50
856,65,66,24,54,66
857,78,61,92,72,49
858,67,67,49,98,88
859,48,26,46,3,75
860,57,67,25,49,10
861,38,95,25,90,48
862,55,40,18,20,32
863,39,87,44,58,44
864,22,34,74,17,93
865,68,39,43,85,83
866,63,3,34,93,58
867,87,42,63,47,79
868,52,100,40,3,61
869,88,22,40,17,66
870,38,86,21,56,45
871,46,77,56,36,12
872,88,65,26,61,42
873,74,43,82,3,4
874,59,84,98,24,70
875,92,100,2,38,37
876,6,44,77,81,85
877,79,3,33,23,27
878,56,38,6,9,49
879,100,5,83,47,18
880,61,33,75,24,31
881,58,45,74,25,20
882,81,8,50,70,86
883,40,47,9,51,42
884,54,13,43,50,54
885,44,85,61,7,21
886,35,87,87,8,24
887,66,19,46,58,27
888,53,59,45,41,40
889,7,21,34,18,29
890,53,37,49,44,78
891,72,43,60,72,29
892,54,33,9,92,27
893,52,50,48,16,3
894,64,56,58,74,8
895,27,35,32,78,97
896,56,101,80,7,49
897,3,75,26,86,46
898,82,7,3,14,65
899,9,8,91,13,54
900,87,97,99,28,46
901,50,78,38,62,84
902,85,73,22,16,82
903,20,14,2,42,23
904,101,79,40,87,83
905,74,45,82,75,51
906,71,68,83,64,86
907,12,43,3,44,45
908,67,70,75,64,98
909,97,57,60,76,40
910,53,17,17,27,100
911,52,29,98,62,28
912,59,55,3,30,46
913,70,52,31,62,99
914,57,17,51,91,3
915,18,83,21,88,7
916,3,39,21,18,95
917,44,62,52,40,64
918,98,92,68,100,70
919,7,60,95,89,80
920,79,75,29,2,35
921,50,71,34,8,80
922,28,92,44,101,13
923,27,18,6,24,49
924,93,22,58,17,50
925,29,96,69,26,22
926,0,28,74,12,20
927,50,58,5,3,95
928,48,26,87,2,38
929,73,83,7,65,99
930,10,53,100,97,100
931,49,40,44,30,39
932,96,15,69,28,36
933,9,71,84,10,72
934,37,44,46,74,85
935,87,18,76,27,58
936,23,98,10,52,60
937,47,101,76,9,67
938,78,55,76,77,51
939,11,56,41,29,46
940,93,73,50,54,75
941,12,15,73,86,77
942,7,7,61,45,16
943,30,88,93,3,79
944,15,45,30,33,34
945,2,93,92,2,61
946,13,38,41,45,34
947,13,60,13,36,100
948,28,12,33,25,11
949,20,49,30,22,71
950,64,57,78,22,92
951,97,35,86,64,21
952,25,9,38,29,34
953,40,69,40,58,27
954,79,61,79,32,50
955,93,4,56,43,4
956,68,60,10,60,100
957,44,84,68,12,87
958,95,51,5,54,100
959,51,6,66,32,2
960,34,64,17,46,99
961,69,35,63,3,95
962,56,82,84,88,39
963,97,78,10,30,10
964,68,46,100,89,24
965,84,15,19,84,42
966,0,45,77,7,86
967,35,13,14,74,40
968,43,90,89,67,39
969,79,49,79,66,62
970,26,51,39,98,32
971,20,96,36,99,57
972,74,49,33,36,19
973,53,2,22,2,60
974,55,32,31,69,7
975,32,98,8,4,63
976,85,14,43,21,73
977,44,3,40,61,89
978,43,81,35,7,18
979,37,62,10,19,13
980,58,35,95,19,11
981,59,37,65,62,35
982,48,39,17,88,50
983,59,84,77,38,69
984,13,29,88,80,56
985,34,28,72,60,42
986,94,15,30,55,47
987,15,26,77,74,35
988,93,29,23,88,90
989,71,72,56,96,60
990,96,26,44,52,48
991,71,22,49,38,83
992,100,33,65,18,76
993,17,46,38,15,33
994,81,6,44,82,41
995,70,88,85,81,80
996,67,82,19,73,1
997,83,88,20,56,7
998,80,66,58,58,64
999,31,7,55,27,84
1000,25,50,79,98,19
1001,41,52,80,66,86
1002,39,80,22,84,54
1003,94,93,80,6,42
1004,27,32,67,56,72
1005,66,77,80,98,1
1006,88,26,87,34,62
1007,1,60,90,35,32
1008,86,98,76,42,81
1009,56,1,83,85,57
1010,1,96,84,71,65
1011,56,75,78,8,97
1012,34,28,42,42,6
1013,40,18,18,28,36
1014,51,19,24,86,81
1015,10,35,23,97,43
1016,99,23,80,42,44
1017,72,92,36,37,13
1018,8,4,19,79,70
1019,25,93,90,10,90
1020,1,97,48,73,21
1021,66,5,95,31,44
1022,44,39,99,33,40
1023,79,70,101,55,24
1024,3,87,38,85,86
1025,86,94,75,63,50
1026,61,44,14,47,22
1027,22,31,17,80,74
1028,86,100,38,56,26
1029,95,56,87,76,63
1030,58,37,92,26,14
1031,66,76,80,47,33
1032,43,28,45,9,53
1033,81,56,61,65,92
1034,19,37,62,36,87
1035,36,64,46,11,85
1036,50,8,56,30,17
1037,20,61,38,94,55
1038,16,10,14,20,57
1039,64,92,85,74,64
1040,68,52,55,46,42
1041,64,60,79,77,98
1042,56,73,20,1,54
1043,72,91,50,43,94
1044,61,25,48,85,85
1045,51,95,74,90,55
1046,42,22,52,28,17
1047,70,97,71,59,66
1048,69,20,2,87,27
1049,96,50,8,81,11
1050,65,45,78,74,45
1051,42,95,45,85,32
1052,82,81,0,79,28
1053,63,7,40,29,94
1054,90,17,5,42,95
1055,36,98,0,19,76
1056,56,45,19,64,29
1057,55,76,3,37,25
1058,4,61,39,60,21
1059,52,69,39,12,53
1060,46,94,33,101,74
1061,25,57,8,92,58
1062,42,69,3,0,23
1063,51,11,42,44,59
1064,95,82,40,76,27
1065,90,46,5,20,25
1066,11,13,71,21,84
1067,39,30,52,13,32
1068,59,20,73,34,25
1069,67,87,56,94,100
1070,39,100,86,29,52
1071,13,65,36,91,64
1072,51,13,16,58,29
1073,51,12,63,85,8
1074,90,7,28,93,67
1075,31,1,7,33,96
1076,43,24,29,52,27
1077,6,23,13,34,53
1078,4,93,91,54,42
1079,21,5,97,76,85
1080,27,38,26,71,83
1081,100,79,18,36,3
1082,7,72,35,86,17
1083,101,36,46,21,88
1084,80,89,34,48,71
1085,75,68,85,37,84
1086,70,64,42,100,70
1087,66,76,28,15,3
1088,28,66,81,89,67
1089,66,96,9,74,88
1090,57,5,41,65,31
1091,26,12,4,12,32
1092,17,82,75,98,94
1093,56,17,73,16,36
1094,63,97,29,84,37
1095,45,82,15,51,16
1096,75,73,27,62,59
1097,40,23,53,29,21
1098,39,85,54,28,32
1099,49,66,93,83,75
1100,47,8,13,71,14
1101,20,9,34,75,37
1102,29,14,64,34,78
1103,18,30,32,54,39
1104,48,47,85,75,66
1105,39,73,14,99,75
1106,47,23,48,65,69
1107,7,73,27,67,50
1108,51,49,21,10,22
1109,67,72,97,59,41
1110,23,45,56,31,27
1111,75,28,25,67,4
1112,30,78,14,65,53
1113,64,85,21,62,64
1114,75,32,62,48,5
1115,41,48,72,82,77
1116,90,89,48,52,81
1117,99,37,24,89,4
1118,31,42,60,91,35
1119,46,97,3,16,59
1120,15,24,80,16,1
1121,78,101,75,44,8
1122,3,57,66,80,39
1123,58,51,18,85,57
1124,21,47,50,15,55
1125,65,55,99,8,84
1126,91,63,81,2,58
1127,85,80,12,17,87
1128,60,48,97,77,33
1129,24,8,17,1,34
1130,67,60,0,72,7
1131,87,45,96,87,39
1132,45,54,16,93,100
1133,82,38,20,93,43
1134,47,75,23,13,29
1135,53,57,52,27,18
1136,14,60,51,5,40
1137,12,71,89,42,86
1138,93,75,44,53,22
1139,45,35,75,77,67
1140,57,49,90,40,89
1141,96,60,26,14,25
1142,71,51,98,71,52
1143,66,34,99,48,98
1144,54,19,13,85,86
1145,18,100,53,33,12
1146,40,7,27,47,37
1147,67,43,71,82,5
1148,9,53,16,33,86
